,episode,url,start_timestamp,start,end,question,context
0,Episode 1,https://www.youtube.com/watch?v=0z49u_b6PmE,03:07 ,187,0, What's the best way to reallocate a portfolio from fixed income to stocks?,
1,Episode 1,https://www.youtube.com/watch?v=0z49u_b6PmE,06:55 ,415,0, What do I do once I cross the Roth IRA income limit?,
2,Episode 1,https://www.youtube.com/watch?v=0z49u_b6PmE,11:09 ,669,0," Once I have maxed out my retiremenet accounts (IRA, 401K), is real estate the next best option?",
3,Episode 2,https://www.youtube.com/watch?v=IDGnZ2AErBg,01:04 ,64,0, Saving vs. Investing,
4,Episode 2,https://www.youtube.com/watch?v=IDGnZ2AErBg,06:06 ,366,0," If Baby Boomers are shifting from net investors to net withdrawers, how should I adjust my investment strategy?",
5,Episode 2,https://www.youtube.com/watch?v=IDGnZ2AErBg,09:26 ,566,0, What is your opinion on interest only mortgages?,
6,Episode 2,https://www.youtube.com/watch?v=IDGnZ2AErBg,13:44 ,824,0, Advice on contributions to ESOP Employee Stock Option Plan,
7,Episode 3,https://www.youtube.com/watch?v=rBm9y4NuxlY,01:30 ,90,0, Is a 90/10 portfolio too risky in retirement?,
8,Episode 3,https://www.youtube.com/watch?v=rBm9y4NuxlY,06:44 ,404,0, Considerations when buying a new construction vs. an older home in an established neighborhood.,
9,Episode 3,https://www.youtube.com/watch?v=rBm9y4NuxlY,11:15 ,675,0, Should I consider adding municipal bonds to my portfolio?,
10,Episode 3,https://www.youtube.com/watch?v=rBm9y4NuxlY,15:35 ,935,0, A large portion of my portfolio is in 2 stocks. At what point should I diversify and reallocate my retirement accounts?,
11,Episode 4,https://www.youtube.com/watch?v=oazzjOjJXKQ,01:16 ,76,0, I have a lot of equity in my house. When does it make sense to sell your house and just start renting?,
12,Episode 4,https://www.youtube.com/watch?v=oazzjOjJXKQ,04:45 ,285,0, Buying stocks for a kid at birth?,
13,Episode 4,https://www.youtube.com/watch?v=oazzjOjJXKQ,07:30 ,450,0, I'm saving a large percentage of my income so that I can retire early. How do I avoid regret not buying nice things?,
14,Episode 4,https://www.youtube.com/watch?v=oazzjOjJXKQ,14:36 ,876,0, Can I stop saving for retirement? Have I already saved enough? ,
15,Episode 5,https://www.youtube.com/watch?v=Gy0A-e1xNco,01:12 ,72,0, How do we diversify our portfolio to provide more dividend income in a tax efficient way?,
16,Episode 5,https://www.youtube.com/watch?v=Gy0A-e1xNco,05:52 ,352,0, Giving up a stable job with favorable work life balance for better long term earnings potential.,
17,Episode 5,https://www.youtube.com/watch?v=Gy0A-e1xNco,10:33 ,633,0, I have saved up with the intention of taking time off to fund my own film projects. How do I invest cash while unemployed?,
18,Episode 5,https://www.youtube.com/watch?v=Gy0A-e1xNco,15:45 ,945,0," How do I teach my kids the basics of financial literacy? How do I teach kids about money? For example, compound interest, stocks, bonds, target date funds, etc.",
19,Episode 6,https://www.youtube.com/watch?v=K8EM5RFMHjI,01:25 ,85,0, Should I buy a house outright or rent and invest the cash in the market? ,
20,Episode 6,https://www.youtube.com/watch?v=K8EM5RFMHjI,05:04 ,304,0, How do you decide on how much inheritance to leave your kids?,
21,Episode 6,https://www.youtube.com/watch?v=K8EM5RFMHjI,11:26 ,686,0, How many stocks should I own to be diversified? Is 70 too many? ,
22,Episode 6,https://www.youtube.com/watch?v=K8EM5RFMHjI,16:12 ,972,0," How can I tell if a stock has hit a long term peak? What are some signs an investor can look for that a stock has gotten as high as it's ever going to get? For example, GE hit its all time peak back in the year 2000.",
23,Episode 7,https://www.youtube.com/watch?v=IJVGn_wFc24,00:58 ,58,0, How should I invest a lifetime pension?,
24,Episode 7,https://www.youtube.com/watch?v=IJVGn_wFc24,05:12 ,312,0, What are your thoughts on using an SBLOC (Security Based Line of Credit) against a brokerage account to borrow for a primary residence of a rental property?,
25,Episode 7,https://www.youtube.com/watch?v=IJVGn_wFc24,09:10 ,550,0, Do government yields still give any real signal in terms of future growth and inflation? Why are bond yields so flow? ,
26,Episode 7,https://www.youtube.com/watch?v=IJVGn_wFc24,16:20 ,980,0, Inflation is running high and treasury yields have been falling. What will happen when the market goes down?,
27,Episode 8,https://www.youtube.com/watch?v=a7p1SmPuoBg,01:26 ,86,0, How should young people like me balance saving money to invest while traveling and enjoying life in our 20s?,
28,Episode 8,https://www.youtube.com/watch?v=a7p1SmPuoBg,04:37 ,277,0, How should I invest my parents' cash?,
29,Episode 8,https://www.youtube.com/watch?v=a7p1SmPuoBg,08:00 ,480,0, Does tax loss harvesting make sense if my tax bracket will be higher in the future?,
30,Episode 8,https://www.youtube.com/watch?v=a7p1SmPuoBg,12:51 ,771,0, Should I buy a house and sell it every 5 years to get a tax free gain of 500K? ,
31,Episode 9,https://www.youtube.com/watch?v=CH7gcUs5ef0,00:45 ,45,0, Could cryptocurrency supply hurt performance of the S&P 500?,
32,Episode 9,https://www.youtube.com/watch?v=CH7gcUs5ef0,08:17 ,497,0, Should I sell my Magic the Gathering collection and invest the cash?,
33,Episode 9,https://www.youtube.com/watch?v=CH7gcUs5ef0,12:47 ,767,0, How do I build a client base as a new Financial Advisor?,
34,Episode 9,https://www.youtube.com/watch?v=CH7gcUs5ef0,18:35 ,1115,0, Should I annuitize my account? ,
35,Episode 10,https://www.youtube.com/watch?v=n0Z6xtJri6E,01:41 ,101,0, Buffett Indicator.,
36,Episode 10,https://www.youtube.com/watch?v=n0Z6xtJri6E,07:32 ,452,0, Leasing a car.,
37,Episode 10,https://www.youtube.com/watch?v=n0Z6xtJri6E,12:57 ,777,0, When to hire a financial advisor or accountant.,
38,Episode 10,https://www.youtube.com/watch?v=n0Z6xtJri6E,18:04 ,1084,0, Taking out a 401k loan.,
39,Episode 11,https://www.youtube.com/watch?v=7jMZp_1buZ8,00:53 ,53,0, When to sell a stock that's down.,
40,Episode 11,https://www.youtube.com/watch?v=7jMZp_1buZ8,08:30 ,510,0, Reducing tax deferred contributions to bolster taxable savings/investments.,
41,Episode 11,https://www.youtube.com/watch?v=7jMZp_1buZ8,11:20 ,680,0, Lump sum vs dollar cost averaging.,
42,Episode 11,https://www.youtube.com/watch?v=7jMZp_1buZ8,16:15 ,975,0, Leveraged ETFs.,
43,Episode 12,https://www.youtube.com/watch?v=RulsvNmtmkQ,01:28 ,88,0, Diversification.,
44,Episode 12,https://www.youtube.com/watch?v=RulsvNmtmkQ,06:59 ,419,0, Market crashes.,
45,Episode 12,https://www.youtube.com/watch?v=RulsvNmtmkQ,12:11 ,731,0, Saving for college.,
46,Episode 12,https://www.youtube.com/watch?v=RulsvNmtmkQ,21:00 ,1260,0, What is the best tax advantaged account?,
47,Episode 13,https://www.youtube.com/watch?v=peBWhDKx9ew,00:56 ,56,0," Data and opinions on markets hitting a bottom, catching a falling knife.",
48,Episode 13,https://www.youtube.com/watch?v=peBWhDKx9ew,06:22 ,382,0, Saving vs. living life to the fullest.,
49,Episode 13,https://www.youtube.com/watch?v=peBWhDKx9ew,09:30 ,570,0, How to balance retirement and non retirement accounts.,
50,Episode 13,https://www.youtube.com/watch?v=peBWhDKx9ew,14:05 ,845,0, Volatility in the stock market.,
51,Episode 14,https://www.youtube.com/watch?v=ZDdqgarzEDw,01:38 ,98,0, Should I let my winners ride?,
52,Episode 14,https://www.youtube.com/watch?v=ZDdqgarzEDw,06:50 ,410,0, Is buying a rental property with my 401k a bad idea? ,
53,Episode 14,https://www.youtube.com/watch?v=ZDdqgarzEDw,11:02 ,662,0, Am I taking too much risk?,
54,Episode 14,https://www.youtube.com/watch?v=ZDdqgarzEDw,16:15 ,975,0, Should I treat my pension like the bond portion of my retirement portfolio?,
55,Episode 15,https://www.youtube.com/watch?v=f-gsImCPmeE,02:19 ,139,0, Stablecoins,
56,Episode 15,https://www.youtube.com/watch?v=f-gsImCPmeE,07:20 ,440,0, Saving for a down payment,
57,Episode 15,https://www.youtube.com/watch?v=f-gsImCPmeE,12:04 ,724,0, What to do with an IPO windfall,
58,Episode 15,https://www.youtube.com/watch?v=f-gsImCPmeE,17:33 ,1053,0, 529 drawdown strategies,
59,Episode 16,https://www.youtube.com/watch?v=yOZAWqLiIUs,03:10 ,190,0, Market sell off ,
60,Episode 16,https://www.youtube.com/watch?v=yOZAWqLiIUs,08:22 ,502,0, Taxes on Crypto ,
61,Episode 16,https://www.youtube.com/watch?v=yOZAWqLiIUs,13:20 ,800,0," Tax efficient strategies for withdrawing from 401k, Roth, IRA",
62,Episode 16,https://www.youtube.com/watch?v=yOZAWqLiIUs,15:50 ,950,0, Should I add season ticket income to tax filing?,
63,Episode 17,https://www.youtube.com/watch?v=z9nC-PnjSWA,00:47 ,47,0, Will demographics lead to reduced asset buying?,
64,Episode 17,https://www.youtube.com/watch?v=z9nC-PnjSWA,05:47 ,347,0, Lessons on investing.,
65,Episode 17,https://www.youtube.com/watch?v=z9nC-PnjSWA,13:37 ,817,0, Starting your own blog.,
66,Episode 17,https://www.youtube.com/watch?v=z9nC-PnjSWA,14:30 ,870,0, Advice on writing to an older audience.,
67,Episode 18,https://www.youtube.com/watch?v=Kt2gdPVckHg,02:16 ,136,0, Inflation and gas prices during a recession.,
68,Episode 18,https://www.youtube.com/watch?v=Kt2gdPVckHg,07:02 ,422,0, Profits during this year's massive selloff and where is the money going?,
69,Episode 18,https://www.youtube.com/watch?v=Kt2gdPVckHg,11:09 ,669,0, Using SBLOC for down payment if you don't want to sell stocks.,
70,Episode 18,https://www.youtube.com/watch?v=Kt2gdPVckHg,16:27 ,987,0, What to do with $2 million dollars in the new economy.,
71,Episode 19,https://www.youtube.com/watch?v=J7ol78hO6Is,03:42 ,222,0, Preparing for the recession.,
72,Episode 19,https://www.youtube.com/watch?v=J7ol78hO6Is,07:23 ,443,0, Can down markets be good for early and regular retirees?,
73,Episode 19,https://www.youtube.com/watch?v=J7ol78hO6Is,12:00 ,720,0, Tax strategy.,
74,Episode 19,https://www.youtube.com/watch?v=J7ol78hO6Is,18:55 ,1135,0, Tax loss harvesting.,
75,Episode 20,https://www.youtube.com/watch?v=Qz8gNJSoi0s,02:31 ,151,0, Is there any way to prep for stagflation? Any actionable ideas?,
76,Episode 20,https://www.youtube.com/watch?v=Qz8gNJSoi0s,09:15 ,555,0, Finding a balance between spiderweb accounts vs one checking account.,
77,Episode 20,https://www.youtube.com/watch?v=Qz8gNJSoi0s,14:02 ,842,0, Establishing a living trust.,
78,Episode 20,https://www.youtube.com/watch?v=Qz8gNJSoi0s,19:27 ,1167,0, Insight on Donor Advised Funds.,
79,Episode 21,https://www.youtube.com/watch?v=iNAXVsWNj70,05:05 ,305,0, What percent of a first time home buyer's net worth should be put down in that first real estate purchase? ,
80,Episode 21,https://www.youtube.com/watch?v=iNAXVsWNj70,10:13 ,613,0, Where to lump sum invest cash.,
81,Episode 21,https://www.youtube.com/watch?v=iNAXVsWNj70,15:32 ,932,0,  How would you direct young / beginner investors to start learning about tax law?,
82,Episode 21,https://www.youtube.com/watch?v=iNAXVsWNj70,20:38 ,1238,0, How can I maximize the tax efficiency of UTMA accounts?,
83,Episode 22,https://www.youtube.com/watch?v=OYxhrPdZdog,01:58 ,118,0, How does the fed raising interest rates fights off inflation?,
84,Episode 22,https://www.youtube.com/watch?v=OYxhrPdZdog,03:30 ,210,0, What particular sectors/names do you find most compelling for a young investor with a 35 40 year time horizon?,
85,Episode 22,https://www.youtube.com/watch?v=OYxhrPdZdog,05:16 ,316,0, What will bring more value in the long run for a child?,
86,Episode 22,https://www.youtube.com/watch?v=OYxhrPdZdog,10:18 ,618,0, Would you recommend focusing on paying off my student loans first? Or should I begin building my portfolio? ,
87,Episode 22,https://www.youtube.com/watch?v=OYxhrPdZdog,11:57 ,717,0, Paying off a mortgage.,
88,Episode 22,https://www.youtube.com/watch?v=OYxhrPdZdog,13:25 ,805,0, What happens when the Fed raises rates?,
89,Episode 22,https://www.youtube.com/watch?v=OYxhrPdZdog,14:39 ,879,0," Iâm 44 and have a net worth of around $425K. Would have more if TWTR didnât crash, I didnât sell any   I own 5,550 shares at @ $29.83 cost basis. What do you think about where I am? ",
90,Episode 22,https://www.youtube.com/watch?v=OYxhrPdZdog,17:19 ,1039,0," What are some good questions to ask when selecting a financial advisor, especially as a young person?",
91,Episode 22,https://www.youtube.com/watch?v=OYxhrPdZdog,21:15 ,1275,0,"  At interest rates so low, should I instead take a loan, finance the house and invest my capital in the stock market?",
92,Episode 23,https://www.youtube.com/watch?v=Jm86Kqi8LHk,02:58 ,178,0, What is the best way to start investing in bonds?,
93,Episode 23,https://www.youtube.com/watch?v=Jm86Kqi8LHk,08:41 ,521,0, How to be more okay with spending.,
94,Episode 23,https://www.youtube.com/watch?v=Jm86Kqi8LHk,12:43 ,763,0, When is a big ticket expense feasible?,
95,Episode 23,https://www.youtube.com/watch?v=Jm86Kqi8LHk,16:09 ,969,0, Vanguard target retirement funds.,
96,Episode 23,https://www.youtube.com/watch?v=Jm86Kqi8LHk,20:31 ,1231,0, How to Invest for the long term but gamble in the short term.,
97,Episode 24,https://www.youtube.com/watch?v=geQkS3cacrs,01:48 ,108,0, What to do with a lump sum of cash.,
98,Episode 24,https://www.youtube.com/watch?v=geQkS3cacrs,10:22 ,622,0, Should you panic about yield curve inversion?,
99,Episode 24,https://www.youtube.com/watch?v=geQkS3cacrs,14:58 ,898,0, The right amount of risk for IRA accounts.,
100,Episode 24,https://www.youtube.com/watch?v=geQkS3cacrs,18:16 ,1096,0, Averaging down on losing stocks,
101,Episode 25,https://www.youtube.com/watch?v=j6aGivL8SPM,01:10 ,70,0, Investing and saving vs paying off student loan debt.,
102,Episode 25,https://www.youtube.com/watch?v=j6aGivL8SPM,06:25 ,385,0, Long term time horizon and buying slowly into innovation names.,
103,Episode 25,https://www.youtube.com/watch?v=j6aGivL8SPM,12:10 ,730,0, How does one accumulate gains while dollar cost averaging?,
104,Episode 25,https://www.youtube.com/watch?v=j6aGivL8SPM,16:35 ,995,0, Do you have any advice for someone who has a large sum to invest right now?,
105,Episode 25,https://www.youtube.com/watch?v=j6aGivL8SPM,20:24 ,1224,0, Why does the stock market go up over the long term?,
106,Episode 26,https://www.youtube.com/watch?v=dt0i_0pyM7U,02:48 ,168,0, Individual Stocks,
107,Episode 26,https://www.youtube.com/watch?v=dt0i_0pyM7U,08:04 ,484,0, Rental Properties,
108,Episode 26,https://www.youtube.com/watch?v=dt0i_0pyM7U,11:43 ,703,0, Portfolio Weighting,
109,Episode 26,https://www.youtube.com/watch?v=dt0i_0pyM7U,15:44 ,944,0, 401K Contributions,
110,Episode 26,https://www.youtube.com/watch?v=dt0i_0pyM7U,20:10 ,1210,0, DCA vs. Lump Sum,
111,Episode 27,https://www.youtube.com/watch?v=_e3bnExOcOg,02:49 ,169,0, Am I overthinking my portfolio allocation?,
112,Episode 27,https://www.youtube.com/watch?v=_e3bnExOcOg,04:58 ,298,0, 4% rule for retirement withdrawals.,
113,Episode 27,https://www.youtube.com/watch?v=_e3bnExOcOg,09:32 ,572,0, Can recessions become self fulfilling?,
114,Episode 27,https://www.youtube.com/watch?v=_e3bnExOcOg,14:22 ,862,0," Explaining ""soft landing"" and ""hard landing"" in market terms.",
115,Episode 27,https://www.youtube.com/watch?v=_e3bnExOcOg,19:53 ,1193,0, What advice would you give young investors experiencing a bear market?,
116,Episode 28,https://www.youtube.com/watch?v=ck3UVRHqEHE,02:58 ,178,0,  Are ETF's/Index Funds safer compared to individual stocks?,
117,Episode 28,https://www.youtube.com/watch?v=ck3UVRHqEHE,08:51 ,531,0, The data against crypto being an inflation hedge has been mounting for over a year now. Can we finally put the argument to bed and call it a myth? ,
118,Episode 28,https://www.youtube.com/watch?v=ck3UVRHqEHE,14:21 ,861,0, Could you please explain how capital gains affects your AGI and taxable income?,
119,Episode 28,https://www.youtube.com/watch?v=ck3UVRHqEHE,19:01 ,1141,0, How does an individual investor get more money into their IRA accounts if they've already made their contribution for the year?,
120,Episode 28,https://www.youtube.com/watch?v=ck3UVRHqEHE,22:41 ,1361,0, Direct indexing and its benefits versus passive indexing in a taxable account.,
121,Episode 29,https://www.youtube.com/watch?v=xgFDuOfhKv8,01:52 ,112,0, Is there a case for going into cash and then lump summing into a bottom that you would be comfortable with?  ,
122,Episode 29,https://www.youtube.com/watch?v=xgFDuOfhKv8,07:21 ,441,0," Does it makes sense to hedge a portfolio of index funds for downside protection, because a market crash can wipe out years of investing returns?",
123,Episode 29,https://www.youtube.com/watch?v=xgFDuOfhKv8,11:22 ,682,0, Trying to figure out how to be opportunistic in a bear market.,
124,Episode 29,https://www.youtube.com/watch?v=xgFDuOfhKv8,14:52 ,892,0,  What would you do with the $1.2 million dollars in savings?,
125,Episode 29,https://www.youtube.com/watch?v=xgFDuOfhKv8,21:44 ,1304,0, Explaining composite rates.,
126,Episode 30,https://www.youtube.com/watch?v=bqwNo4jZZNw,02:28 ,148,0, Do you have any tips on writing? ,
127,Episode 30,https://www.youtube.com/watch?v=bqwNo4jZZNw,07:47 ,467,0, How should my life outlook impact my âretirementâ investing choices?,
128,Episode 30,https://www.youtube.com/watch?v=bqwNo4jZZNw,14:06 ,846,0," If my portfolio declines as it has over the past 6 months, am I still getting the benefits of compounding?",
129,Episode 30,https://www.youtube.com/watch?v=bqwNo4jZZNw,18:46 ,1126,0, Should I just go 40/60 or 30/70?,
130,Episode 30,https://www.youtube.com/watch?v=bqwNo4jZZNw,23:43 ,1423,0, Stock purchase plans.,
131,Episode 31,https://www.youtube.com/watch?v=hRBGV_UM9Bs,01:09 ,69,0, Helping dad with his finances.,
132,Episode 31,https://www.youtube.com/watch?v=hRBGV_UM9Bs,07:13 ,433,0, How to invest in an HSA.,
133,Episode 31,https://www.youtube.com/watch?v=hRBGV_UM9Bs,12:06 ,726,0, When to lower international exposure.,
134,Episode 31,https://www.youtube.com/watch?v=hRBGV_UM9Bs,17:53 ,1073,0, Benefits of REITs vs directly owning real estate rentals.,
135,Episode 31,https://www.youtube.com/watch?v=hRBGV_UM9Bs,23:53 ,1433,0, Mega backdoor Roths.,
136,Episode 32,https://www.youtube.com/watch?v=gQ8P6RLheXY,05:43 ,343,0, Hedging the price of your home.,
137,Episode 32,https://www.youtube.com/watch?v=gQ8P6RLheXY,09:32 ,572,0, De risking your portfolio.,
138,Episode 32,https://www.youtube.com/watch?v=gQ8P6RLheXY,13:29 ,809,0, The New Zealand housing market.,
139,Episode 32,https://www.youtube.com/watch?v=gQ8P6RLheXY,17:36 ,1056,0, investing in international stocks.,
140,Episode 32,https://www.youtube.com/watch?v=gQ8P6RLheXY,23:12 ,1392,0, Bear market allocations.,
141,Episode 33,https://www.youtube.com/watch?v=B_vGqvu8OAc,04:43 ,283,0, Paying down debt.,
142,Episode 33,https://www.youtube.com/watch?v=B_vGqvu8OAc,08:04 ,484,0, Bond allocations.,
143,Episode 33,https://www.youtube.com/watch?v=B_vGqvu8OAc,14:25 ,865,0, Saving for a move.,
144,Episode 33,https://www.youtube.com/watch?v=B_vGqvu8OAc,18:17 ,1097,0, Tough 401K situations.,
145,Episode 33,https://www.youtube.com/watch?v=B_vGqvu8OAc,24:44 ,1484,0, Managing a HELOC.,
146,Episode 34,https://www.youtube.com/watch?v=9yOXhm75ImM,04:59 ,299,0, Good credit card to get for a family.,
